Beer,Alcoholic,Style,ABV
Left Hand Brewing Peanut Butter Milk Stout,True,Peanut Butter Milk Stout,6.2
Left Hand Brewing Bittersweet Imperial Coffee Milk Stout,True,Bittersweet Imperial Coffee Milk Stout,8.9
Left Hand Brewing Raspberry Milk Stout,True,Raspberry Milk Stout,5.5
Hairless Dog Black Ale,False,Black Ale,0.0
Maui Brewing Bikini Blonde,False,Bikini Blonde Lager,4.8
Sweet Baby Jesus,True,Chocolate Peanute Butter,6.2
Salzburger Stiegal,True,Radler Grapfruit,2.25
Paulaner Munchen,False,Wiezen-Radler,0.5
Union Blackwing,True,Lager,4.8
Dogfish Head 60 Min IPA,True,IPA,6
Left Hand Brewing Wheels Gose Round,True,Gose,4.4
Dogfish Head Super 8 Super Gose,True,Gose,5.3
Athletic Brewing Upside Down Golden,False,Golden,0.5
Bravus Brewing Blonde,False,Blonde,0.5
Bravus Brewing Oatmeal Stout,False,Oatmeal Stout,0.5
Bravus Brewing IPA,False,IPA,0.5
Bravus Brewing Raspberry Gose,False,Raspberry Gose,0.5
Bravus Brewing Amber,False,Amber,0.5
Bravus Brewing Peanut Butter Stout,False,Peanut Butter Stout,0.5
Partake Stout,False,Stout,0.3
