person,round,drpepper,score
Rachel,1,Dr. Pepper,2.0
Rachel,2,Generic,1.0
Rachel,3,Dr. Pepper,3.0
Rachel,4,Generic,2.0
Matt D.,1,Generic,3.0
Matt D.,2,Dr. Pepper,3.0
Matt D.,3,Generic,4.0
Matt D.,4,Dr. Pepper,2.0
Jo,1,Generic,5.0
Jo,2,Generic,3.0
Jo,3,Dr. Pepper,3.0
Jo,4,Dr. Pepper,3.0
Roberto,1,Generic,2.0
Roberto,2,Dr. Pepper,4.0
Roberto,3,Dr. Pepper,4.0
Roberto,4,Generic,4.0
Jenna,1,Dr. Pepper,3.0
Jenna,2,Generic,3.0
Jenna,3,Dr. Pepper,3.0
Jenna,4,Generic,3.0
Tyler,1,Generic,2.0
Tyler,2,Generic,2.0
Tyler,3,Dr. Pepper,4.0
Tyler,4,Dr. Pepper,4.0
Keira,1,Dr. Pepper,4.0
Keira,2,Dr. Pepper,4.0
Keira,3,Generic,3.0
Keira,4,Generic,2.0
Matt B.,1,Generic,4.0
Matt B.,2,Generic,4.0
Matt B.,3,Dr. Pepper,3.0
Matt B.,4,Dr. Pepper,4.0
