Beer,Beer Letter,Ali,Alec,Cara,Claire,Dave,Elaine,Emily,Heather,Jenna,Jo,Joe,Jon,Jules,Matt D,Miranda,Rachel,Roberto,Tyler
Budweiser,A,3,4,2,4.1,2,3.5,4,3,3.5,2.5,3,3,1.3,3,3.5,2,2,4
PBR,B ,2,3,4,3,3,2,2,2,3,2.75,3,2,4.5,1,2,1,3,3.5
Ichiban,C,2,1,4,1.8,2,1,1,2,3,2,2,1,3,3.5,3,2,1,1.8
Miller High Life,D,1,1,3,2.5,2,2.5,3,2,3,3,4,3,3.5,2,4,3,4,4
Dos Equis,E,2,1,5,3.8,4,1.5,3.5,4,4,4,2,2,4.8,3,4,2,4.5,4.5
Yuengling,F,4,5,4,1,4,4,3.5,5,2,4.7,4,4,5,3,4.5,4,2.5,4.8
Natural Light,G,3,1,2,2.2,3,3,3,2,1.5,2,2,3,3.5,2,3,3,2.5,2
Budlight,H,1,2,2,3.8,1,2,3,3,2,3,4,4,2,2,3,3,3.5,4.5
Coors (Banquet),I,2,3,2,3.8,3,4,4,2,3,2.5,3,2,1.5,3.5,3.5,4,3.5,3.5
Red Stripe,J,1,3,1,2.4,2,1,1,3,1.5,3,3,2,3,1,1,1,1,4.9
Corona,K,3,1,2,3,1,1.5,1.5,1,1,1.5,1,1,1,1,1,1,3,1
Modelo,L,1,1,1,2.2,2,3,2,1,2.5,2,2,2,4,2,2,3,3,2.5
Narragansett,M,3,4,4,3.7,4,1.5,2.5,5,3.5,1,3,2,4,2.5,3,3,3.5,3
Miller Lite,N,1,1,2,3.1,3,2,3,3,2,3.5,1,3,2.9,1,3.5,2,2.5,1.5
Natty Boh,O,3,1,3,2.5,3,2,3.5,2,3,2.5,1,2,1,2,4,3,3,2
Rolling Rock,P,3,2,2,4,3,3,3,4,2.5,3.5,4,3,3,2.5,3,4,1,3
Coors Light,Q,2,2,3,4.3,2,3.5,3,3,1.5,4.5,3,3,3.5,3,2,3,1.5,4
Heineken,R,2,4,4,1.1,2,2,2,1,2.5,2.75,2,2,4,1,2,3,1,2
